,Runs,Count,Frequency
109,779,5,0.002145922746781116
110,670,7,0.0030042918454935624
111,751,7,0.0030042918454935624
112,552,5,0.002145922746781116
113,659,7,0.0030042918454935624
114,631,7,0.0030042918454935624
115,595,4,0.0017167381974248926
116,641,9,0.0038626609442060085
117,488,2,0.0008583690987124463
118,607,3,0.0012875536480686696
119,633,9,0.0038626609442060085
120,529,3,0.0012875536480686696
121,794,6,0.002575107296137339
122,596,4,0.0017167381974248926
123,645,6,0.002575107296137339
124,589,5,0.002145922746781116
125,662,12,0.005150214592274678
126,622,5,0.002145922746781116
127,657,8,0.0034334763948497852
128,487,1,0.00042918454935622315
129,621,4,0.0017167381974248926
130,538,3,0.0012875536480686696
131,615,12,0.005150214592274678
132,762,5,0.002145922746781116
133,672,6,0.002575107296137339
134,749,7,0.0030042918454935624
135,503,2,0.0008583690987124463
136,523,3,0.0012875536480686696
137,565,2,0.0008583690987124463
138,572,3,0.0012875536480686696
139,550,6,0.002575107296137339
140,669,14,0.006008583690987125
141,536,5,0.002145922746781116
142,717,5,0.002145922746781116
143,640,10,0.004291845493562232
144,778,4,0.0017167381974248926
145,547,1,0.00042918454935622315
146,584,8,0.0034334763948497852
147,545,2,0.0008583690987124463
148,557,6,0.002575107296137339
149,592,5,0.002145922746781116
150,521,2,0.0008583690987124463
151,569,6,0.002575107296137339
152,601,4,0.0017167381974248926
153,520,2,0.0008583690987124463
154,505,1,0.00042918454935622315
155,577,2,0.0008583690987124463
156,447,1,0.00042918454935622315
157,581,2,0.0008583690987124463
158,484,1,0.00042918454935622315
159,476,4,0.0017167381974248926
160,555,3,0.0012875536480686696
161,524,2,0.0008583690987124463
162,578,6,0.002575107296137339
163,510,3,0.0012875536480686696
164,531,3,0.0012875536480686696
165,543,4,0.0017167381974248926
166,474,1,0.00042918454935622315
167,360,1,0.00042918454935622315
168,424,1,0.00042918454935622315
169,480,1,0.00042918454935622315
170,412,1,0.00042918454935622315
171,430,1,0.00042918454935622315
