,Runs,Count,Frequency
261,660,3,0.002471169686985173
262,703,6,0.004942339373970346
263,772,8,0.006589785831960461
264,597,1,0.0008237232289950577
265,578,1,0.0008237232289950577
266,763,1,0.0008237232289950577
267,604,1,0.0008237232289950577
268,554,1,0.0008237232289950577
269,699,5,0.004118616144975288
270,728,1,0.0008237232289950577
271,733,6,0.004942339373970346
272,599,3,0.002471169686985173
273,689,5,0.004118616144975288
274,576,1,0.0008237232289950577
275,817,3,0.002471169686985173
276,579,2,0.0016474464579901153
277,674,2,0.0016474464579901153
278,768,5,0.004118616144975288
279,636,2,0.0016474464579901153
280,829,3,0.002471169686985173
281,791,5,0.004118616144975288
282,745,3,0.002471169686985173
283,574,2,0.0016474464579901153
284,899,1,0.0008237232289950577
285,581,1,0.0008237232289950577
286,821,2,0.0016474464579901153
287,877,3,0.002471169686985173
288,808,2,0.0016474464579901153
289,835,2,0.0016474464579901153
290,801,4,0.0032948929159802307
291,840,3,0.002471169686985173
292,785,2,0.0016474464579901153
293,621,1,0.0008237232289950577
294,563,1,0.0008237232289950577
295,773,4,0.0032948929159802307
296,949,1,0.0008237232289950577
297,928,2,0.0016474464579901153
298,898,1,0.0008237232289950577
299,778,2,0.0016474464579901153
300,952,1,0.0008237232289950577
301,961,2,0.0016474464579901153
302,894,2,0.0016474464579901153
303,861,3,0.002471169686985173
304,993,1,0.0008237232289950577
305,752,4,0.0032948929159802307
306,766,2,0.0016474464579901153
307,812,1,0.0008237232289950577
308,868,2,0.0016474464579901153
309,923,2,0.0016474464579901153
310,777,4,0.0032948929159802307
311,925,2,0.0016474464579901153
312,787,4,0.0032948929159802307
313,826,3,0.002471169686985173
314,876,2,0.0016474464579901153
315,850,2,0.0016474464579901153
316,874,1,0.0008237232289950577
317,940,1,0.0008237232289950577
318,816,2,0.0016474464579901153
319,908,1,0.0008237232289950577
320,836,3,0.002471169686985173
321,865,4,0.0032948929159802307
322,1009,1,0.0008237232289950577
323,906,1,0.0008237232289950577
324,856,2,0.0016474464579901153
325,793,3,0.002471169686985173
326,815,1,0.0008237232289950577
327,853,2,0.0016474464579901153
328,893,1,0.0008237232289950577
329,872,2,0.0016474464579901153
330,945,1,0.0008237232289950577
331,883,2,0.0016474464579901153
332,864,1,0.0008237232289950577
333,792,2,0.0016474464579901153
334,978,1,0.0008237232289950577
335,825,1,0.0008237232289950577
336,950,1,0.0008237232289950577
337,968,2,0.0016474464579901153
338,938,1,0.0008237232289950577
339,879,1,0.0008237232289950577
340,947,1,0.0008237232289950577
341,907,2,0.0016474464579901153
342,887,2,0.0016474464579901153
343,848,1,0.0008237232289950577
344,897,3,0.002471169686985173
345,884,1,0.0008237232289950577
346,927,1,0.0008237232289950577
347,890,1,0.0008237232289950577
348,819,1,0.0008237232289950577
349,843,1,0.0008237232289950577
350,717,2,0.0016474464579901153
351,803,3,0.002471169686985173
352,858,1,0.0008237232289950577
353,833,1,0.0008237232289950577
354,827,1,0.0008237232289950577
355,780,2,0.0016474464579901153
356,855,3,0.002471169686985173
357,860,2,0.0016474464579901153
358,910,1,0.0008237232289950577
359,726,2,0.0016474464579901153
360,886,1,0.0008237232289950577
361,849,1,0.0008237232289950577
362,870,1,0.0008237232289950577
363,930,1,0.0008237232289950577
364,834,1,0.0008237232289950577
365,892,1,0.0008237232289950577
366,782,2,0.0016474464579901153
367,765,2,0.0016474464579901153
368,700,3,0.002471169686985173
369,901,1,0.0008237232289950577
370,781,1,0.0008237232289950577
371,875,1,0.0008237232289950577
372,721,1,0.0008237232289950577
373,598,1,0.0008237232289950577
374,602,1,0.0008237232289950577
375,535,1,0.0008237232289950577
376,612,1,0.0008237232289950577
